KuNr;Name;Vorname 1;Vorname 2;Geb.Dat.;Geb.Ort;Strasse;HNr;PLZ;Ort;Tel priv;Tel Arbeit;Mobil;Fax;eMail 1;eMail 2;Prio Kontakt;FamStand;Anz Kinder;Anz Kinder MV;Ehepart MV
K00266;Musterfrau 27;Erika;;13.04.1968;Fulda;Kurze Strasse;40;63505;Mosbach;06356/37172;06365/92940;0175/579266;;Musterfrau27@dhbw.tst;Erika@dhbw.vgl;M;eingetr. Partnerschaft;2;1;J
K00265;Mueller 27;Tom;;03.04.1968;Erfurt;Lange Strasse;77;63504;Mittelstadt;06355/27993;06364/76401;0175/579265;;Mueller27@dhbw.tst;Tom@dhbw.vgl;L;verheiratet;4;3;J
K00264;Meier 27;Hartwigk;Clara;24.03.1968;Fulda;Kreuzweg;25;63504;Mittelstadt;06355/45426;06364/53021;0175/579264;06355/95546;Meier27@dhbw.tst;Hartwigk@dhbw.vgl;G;verwitwet;2;1;N
K00263;Meyer 27;Holger;Herrmann;14.03.1968;Berlin;Im Tal;77;63504;Mittelstadt;06355/28094;06364/54787;0175/579263;;Meyer27@dhbw.tst;Holger@dhbw.vgl;P;geschieden;3;2;N
K00262;Maier 27;Marcus;;04.03.1968;Sidney;Auf der Höhe;98;63504;Mittelstadt;06355/56770;06364/10416;0175/579262;;Maier27@dhbw.tst;Marcus@dhbw.vgl;O;verheiratet;1;0;N
K00261;Müller 27;Christine;;23.02.1968;New York;Severinstr.;15;63504;Mittelstadt;06355/4385;06364/367;0175/579261;;Müller27@dhbw.tst;Christine@dhbw.vgl;N;eingetr. Partnerschaft;2;1;J
K00260;Dietrich 26;Tina;;13.02.1968;Freiburg;Kanzlerweg;25;63503;Altstadt;06354/55842;06363/88572;0175/579260;;Dietrich26@dhbw.tst;Tina@dhbw.vgl;M;geschieden;1;0;N
K00259;Otto 26;Ernst;;03.02.1968;Basel;Kreuzberger Str.;30;63503;Altstadt;06354/29987;06363/26886;;;Otto26@dhbw.tst;Ernst@dhbw.vgl;L;ledig;0;0;N
K00258;Zimmermann 26;Markus;Egon;24.01.1968;Mainz;Im Gewann;11;63503;Altstadt;06354/75239;06363/38036;;06354/11656;Zimmermann26@dhbw.tst;Markus@dhbw.vgl;G;verheiratet;4;3;J
K00257;Zöller 26;Carsten;;14.01.1968;Wien;Berliner Strasse;32;63502;Neustadt;06353/64516;;;;Zöller26@dhbw.tst;Carsten@dhbw.vgl;P;verheiratet;1;0;N
K00256;Musterfrau 26;Alfred;;04.01.1968;Dortmund;Musterstrasse;64;63502;Neustadt;06353/72780;;;;Musterfrau26@dhbw.tst;Alfred@dhbw.vgl;O;verheiratet;1;0;N
K00255;Mueller 26;Johann;;25.12.1967;London;Kurze Strasse;29;63502;Neustadt;06353/73928;;;;Mueller26@dhbw.tst;Johann@dhbw.vgl;N;ledig;0;0;N
K00254;Meier 26;Anne;;15.12.1967;Zuffenhausen;Lange Strasse;80;63502;Neustadt;06353/82120;;;;Meier26@dhbw.tst;Anne@dhbw.vgl;M;verheiratet;1;0;N
K00253;Meyer 26;Torsten;Maria;05.12.1967;Basel;Kreuzweg;4;63502;Neustadt;06353/27264;;;;Meyer26@dhbw.tst;Torsten@dhbw.vgl;L;geschieden;3;2;N
K00252;Maier 26;Michael;;25.11.1967;Basel;Im Tal;52;63501;Versicherungsstadt;06352/69517;06361/95590;0175/579252;06352/72504;Maier26@dhbw.tst;Michael@dhbw.vgl;G;ledig;0;0;N
K00251;Müller 26;Christiane;;15.11.1967;Magdeburg;Auf der Höhe;73;63501;Versicherungsstadt;06352/97340;06361/2419;0175/579251;;Müller26@dhbw.tst;Christiane@dhbw.vgl;P;ledig;0;0;N
K00250;Dietrich 25;Sabine;;05.11.1967;Peking;Severinstr.;3;63500;Musterdorff;06351/48280;06360/7568;0175/579250;;Dietrich25@dhbw.tst;Sabine@dhbw.vgl;O;verwitwet;2;1;N
K00249;Otto 25;Kristijan;;26.10.1967;Rostock;Kanzlerweg;49;63500;Musterdorff;06351/30906;06360/22656;0175/579249;;Otto25@dhbw.tst;Kristijan@dhbw.vgl;N;eingetr. Partnerschaft;2;1;J
K00248;Zimmermann 25;Karla;Putinowitsch;16.10.1967;Würzburg;Kreuzberger Str.;37;63500;Musterdorff;06351/62434;06360/50389;0175/579248;;Zimmermann25@dhbw.tst;Karla@dhbw.vgl;M;ledig;0;0;N
K00247;Zöller 25;Toni;;06.10.1967;Marburg;Im Gewann;41;63505;Mosbach;06356/95701;06365/15460;0175/579247;;Zöller25@dhbw.tst;Toni@dhbw.vgl;L;eingetr. Partnerschaft;0;0;N
K00246;Musterfrau 25;Thomas;;26.09.1967;Fulda;Berliner Strasse;86;63504;Mittelstadt;06355/46739;06364/55531;0175/579246;06355/5952;Musterfrau25@dhbw.tst;Thomas@dhbw.vgl;G;geschieden;2;1;N
K00245;Mueller 25;Hugo;;16.09.1967;Rostock;Musterstrasse;17;63504;Mittelstadt;06355/58636;06364/78787;0175/579245;;Mueller25@dhbw.tst;Hugo@dhbw.vgl;P;verheiratet;0;0;J
K00244;Meier 25;Martina;Paul;06.09.1967;Hofgeismar;Kurze Strasse;83;63504;Mittelstadt;06355/94262;06364/52072;0175/579244;;Meier25@dhbw.tst;Martina@dhbw.vgl;O;verheiratet;1;0;N
K00243;Meyer 25;Karl-Heinz;;27.08.1967;Freiburg;Lange Strasse;95;63504;Mittelstadt;06355/51910;06364/88432;0175/579243;;Meyer25@dhbw.tst;Karl-Heinz@dhbw.vgl;N;verheiratet;0;0;J
K00242;Maier 25;Norbert;;17.08.1967;Stralsund;Kreuzweg;58;63504;Mittelstadt;06355/59695;;0175/579242;;Maier25@dhbw.tst;Norbert@dhbw.vgl;M;verheiratet;1;0;N
K00241;Müller 25;Christian;Clara;07.08.1967;Berlin;Im Tal;48;63503;Altstadt;06354/32271;;0175/579241;;Müller25@dhbw.tst;Christian@dhbw.vgl;L;ledig;0;0;N
K00240;Dietrich 24;Andreas;Herrmann;28.07.1967;Würzburg;Auf der Höhe;51;63503;Altstadt;06354/22777;;0175/579240;;Dietrich24@dhbw.tst;Andreas@dhbw.vgl;G;verheiratet;4;3;J
K00239;Otto 24;Christine;;18.07.1967;London;Severinstr.;55;63503;Altstadt;06354/68396;;0175/579239;;Otto24@dhbw.tst;Christine@dhbw.vgl;P;verwitwet;3;2;N
K00238;Zimmermann 24;Erika;;08.07.1967;Würzburg;Kanzlerweg;96;63502;Neustadt;06353/21929;06362/30779;0175/579238;;Zimmermann24@dhbw.tst;Erika@dhbw.vgl;O;verwitwet;3;2;N
K00237;Zöller 24;Walter;;28.06.1967;Frankfurt (Oder);Kreuzberger Str.;75;63502;Neustadt;06353/60292;06362/31691;0175/579237;;Zöller24@dhbw.tst;Walter@dhbw.vgl;N;verheiratet;0;0;J
K00236;Musterfrau 24;Tom;;18.06.1967;Duisburg;Im Gewann;78;63502;Neustadt;06353/53836;06362/37442;0175/579236;06353/41018;Musterfrau24@dhbw.tst;Tom@dhbw.vgl;M;ledig;0;0;N
K00235;Mueller 24;Hartwigk;Egon;08.06.1967;Würzburg;Berliner Strasse;9;63502;Neustadt;06353/322;06362/56098;0175/579235;;Mueller24@dhbw.tst;Hartwigk@dhbw.vgl;L;geschieden;1;0;N
K00234;Meier 24;Tina;;29.05.1967;Zuffenhausen;Musterstrasse;99;63502;Neustadt;06353/34913;06362/89516;0175/579234;;Meier24@dhbw.tst;Tina@dhbw.vgl;G;verheiratet;1;0;N
K00233;Meyer 24;Marcus;;19.05.1967;Peking;Kurze Strasse;29;63501;Versicherungsstadt;06352/30294;06361/85339;0175/579233;;Meyer24@dhbw.tst;Marcus@dhbw.vgl;P;ledig;0;0;N
K00232;Maier 24;Wolfgang;;09.05.1967;Peking;Lange Strasse;78;63501;Versicherungsstadt;06352/73288;06361/99969;0175/579232;;Maier24@dhbw.tst;Wolfgang@dhbw.vgl;O;ledig;0;0;N
K00231;Müller 24;Holger;;29.04.1967;Bremen;Kreuzweg;16;63500;Musterdorff;06351/49417;06360/8793;0175/579231;;Müller24@dhbw.tst;Holger@dhbw.vgl;N;verheiratet;3;2;N
K00230;Dietrich 23;Ansgar;Maria;19.04.1967;Mainz;Im Tal;2;63500;Musterdorff;06351/68542;06360/41520;0175/579230;06351/33727;Dietrich23@dhbw.tst;Ansgar@dhbw.vgl;M;verwitwet;3;2;N
K00229;Otto 23;Christiane;;09.04.1967;Rostock;Auf der Höhe;48;63500;Musterdorff;06351/86652;06360/70412;0175/579229;;Otto23@dhbw.tst;Christiane@dhbw.vgl;L;eingetr. Partnerschaft;0;0;N
K00228;Zimmermann 23;Alfred;;30.03.1967;Düsseldorf;Severinstr.;77;63505;Mosbach;06356/77345;06365/69783;0175/579228;;Zimmermann23@dhbw.tst;Alfred@dhbw.vgl;G;ledig;0;0;N
K00227;Zöller 23;Ernst;;20.03.1967;Freiburg;Kanzlerweg;55;63504;Mittelstadt;06355/29186;06364/77224;0175/579227;;Zöller23@dhbw.tst;Ernst@dhbw.vgl;P;eingetr. Partnerschaft;0;0;N
K00226;Musterfrau 23;Johann;;10.03.1967;Paris;Kreuzberger Str.;40;63504;Mittelstadt;06355/86329;06364/97731;0175/579226;;Musterfrau23@dhbw.tst;Johann@dhbw.vgl;O;eingetr. Partnerschaft;1;0;N
K00225;Mueller 23;Anne;Putinowitsch;28.02.1967;Wolfsburg;Im Gewann;43;63504;Mittelstadt;06355/76972;06364/28970;0175/579225;;Mueller23@dhbw.tst;Anne@dhbw.vgl;N;ledig;0;0;N
K00224;Meier 23;Sabine;;18.02.1967;New York;Berliner Strasse;78;63504;Mittelstadt;06355/67085;06364/19160;;06355/38913;Meier23@dhbw.tst;Sabine@dhbw.vgl;M;geschieden;2;1;N
K00223;Meyer 23;Michael;;08.02.1967;Freiburg;Musterstrasse;58;63504;Mittelstadt;06355/26775;06364/65481;;;Meyer23@dhbw.tst;Michael@dhbw.vgl;L;eingetr. Partnerschaft;2;1;J
K00222;Maier 23;Sebastian;;29.01.1967;Köln;Kurze Strasse;8;63503;Altstadt;06354/56879;06363/27331;;;Maier23@dhbw.tst;Sebastian@dhbw.vgl;G;geschieden;1;0;N
K00221;Müller 23;Torsten;Paul;19.01.1967;Freiburg;Lange Strasse;80;63503;Altstadt;06354/93798;06363/73622;;;Müller23@dhbw.tst;Torsten@dhbw.vgl;P;verheiratet;3;2;N
K00220;Dietrich 22;Carsten;;09.01.1967;Obersdorf;Kreuzweg;4;63503;Altstadt;06354/44300;06363/60402;;;Dietrich22@dhbw.tst;Carsten@dhbw.vgl;O;ledig;0;0;N
K00219;Otto 22;Christian;;30.12.1966;Bremen;Im Tal;99;63502;Neustadt;06353/68585;06362/80152;;;Otto22@dhbw.tst;Christian@dhbw.vgl;N;eingetr. Partnerschaft;2;1;J
K00218;Zimmermann 22;Thomas;Clara;20.12.1966;Würzburg;Auf der Höhe;3;63502;Neustadt;06353/49283;06362/37063;0175/579218;06353/15575;Zimmermann22@dhbw.tst;Thomas@dhbw.vgl;M;verheiratet;4;3;J
K00217;Zöller 22;Kristijan;Herrmann;10.12.1966;Stralsund;Severinstr.;22;63502;Neustadt;06353/96080;06362/37912;0175/579217;;Zöller22@dhbw.tst;Kristijan@dhbw.vgl;L;verwitwet;3;2;N
K00216;Musterfrau 22;Hugo;;30.11.1966;Stralsund;Kanzlerweg;5;63502;Neustadt;06353/77614;06362/28490;0175/579216;;Musterfrau22@dhbw.tst;Hugo@dhbw.vgl;G;ledig;0;0;N
K00215;Mueller 22;Martina;;20.11.1966;Flensburg;Kreuzberger Str.;54;63502;Neustadt;06353/82278;06362/46120;0175/579215;;Mueller22@dhbw.tst;Martina@dhbw.vgl;P;ledig;0;0;N
K00214;Meier 22;Andreas;;10.11.1966;Hanau;Im Gewann;97;63501;Versicherungsstadt;06352/42589;06361/95403;0175/579214;;Meier22@dhbw.tst;Andreas@dhbw.vgl;O;ledig;0;0;N
K00213;Meyer 22;Norbert;;31.10.1966;Kiel;Berliner Strasse;40;63501;Versicherungsstadt;06352/41174;06361/57672;0175/579213;;Meyer22@dhbw.tst;Norbert@dhbw.vgl;N;ledig;0;0;N
K00212;Maier 22;Jürgen;Egon;21.10.1966;Düsseldorf;Musterstrasse;17;63500;Musterdorff;06351/62543;06360/58441;0175/579212;06351/20848;Maier22@dhbw.tst;Jürgen@dhbw.vgl;M;eingetr. Partnerschaft;0;0;J
K00211;Müller 22;Karl-Heinz;;11.10.1966;Zuffenhausen;Kurze Strasse;58;63500;Musterdorff;06351/83937;06360/31596;0175/579211;;Müller22@dhbw.tst;Karl-Heinz@dhbw.vgl;L;ledig;0;0;N
K00210;Dietrich 21;Toni;;01.10.1966;Hofgeismar;Lange Strasse;20;63500;Musterdorff;06351/14559;06360/98002;0175/579210;;Dietrich21@dhbw.tst;Toni@dhbw.vgl;G;verwitwet;0;0;N
K00209;Otto 21;Holger;;21.09.1966;Hamburg;Kreuzweg;65;63505;Mosbach;06356/63047;06365/40452;0175/579209;;Otto21@dhbw.tst;Holger@dhbw.vgl;P;ledig;0;0;N
K00208;Zimmermann 21;Tom;;11.09.1966;Stuttgart;Im Tal;82;63504;Mittelstadt;06355/52025;06364/71960;0175/579208;;Zimmermann21@dhbw.tst;Tom@dhbw.vgl;O;eingetr. Partnerschaft;2;1;J
K00207;Zöller 21;Christine;Maria;01.09.1966;Paris;Auf der Höhe;9;63504;Mittelstadt;06355/90317;06364/32603;0175/579207;;Zöller21@dhbw.tst;Christine@dhbw.vgl;N;geschieden;3;2;N
K00206;Musterfrau 21;Hartwigk;;22.08.1966;Hanau;Severinstr.;27;63504;Mittelstadt;06355/42935;06364/93985;0175/579206;06355/2174;Musterfrau21@dhbw.tst;Hartwigk@dhbw.vgl;M;verheiratet;5;4;N
K00205;Mueller 21;Tina;;12.08.1966;Wolfsburg;Kanzlerweg;5;63504;Mittelstadt;06355/11451;;0175/579205;;Mueller21@dhbw.tst;Tina@dhbw.vgl;L;ledig;0;0;N
K00204;Meier 21;Ansgar;;02.08.1966;Wiesbaden;Kreuzberger Str.;80;63504;Mittelstadt;06355/42391;;0175/579204;;Meier21@dhbw.tst;Ansgar@dhbw.vgl;G;geschieden;3;2;N
K00203;Meyer 21;Wolfgang;;23.07.1966;New York;Im Gewann;42;63503;Altstadt;06354/87682;;0175/579203;;Meyer21@dhbw.tst;Wolfgang@dhbw.vgl;P;eingetr. Partnerschaft;2;1;J
K00202;Maier 21;Egon;Putinowitsch;13.07.1966;Düsseldorf;Berliner Strasse;29;63503;Altstadt;06354/58124;;0175/579202;;Maier21@dhbw.tst;Egon@dhbw.vgl;O;geschieden;0;0;N
K00201;Müller 21;Marcus;;03.07.1966;New York;Musterstrasse;82;63503;Altstadt;06354/48047;;0175/579201;;Müller21@dhbw.tst;Marcus@dhbw.vgl;N;eingetr. Partnerschaft;0;0;N
K00200;Dietrich 20;Walter;;23.06.1966;Erfurt;Kurze Strasse;30;63502;Neustadt;06353/35296;;0175/579200;;Dietrich20@dhbw.tst;Walter@dhbw.vgl;M;ledig;0;0;N
K00199;Otto 20;Torsten;;13.06.1966;Zuffenhausen;Lange Strasse;66;63502;Neustadt;06353/25945;06362/58333;0175/579199;;Otto20@dhbw.tst;Torsten@dhbw.vgl;L;ledig;0;0;N
K00198;Zimmermann 20;Johann;Paul;03.06.1966;Moskau;Kreuzweg;67;63502;Neustadt;06353/52586;06362/72007;0175/579198;;Zimmermann20@dhbw.tst;Johann@dhbw.vgl;G;verwitwet;2;1;N
K00197;Zöller 20;Christiane;;24.05.1966;Stralsund;Im Tal;51;63502;Neustadt;06353/63335;06362/90067;0175/579197;;Zöller20@dhbw.tst;Christiane@dhbw.vgl;P;verwitwet;0;0;N
K00196;Musterfrau 20;Anne;;14.05.1966;Hannover;Auf der Höhe;48;63502;Neustadt;06353/69587;06362/32692;0175/579196;06353/50054;Musterfrau20@dhbw.tst;Anne@dhbw.vgl;O;eingetr. Partnerschaft;0;0;N
K00195;Mueller 20;Sabine;Clara;04.05.1966;London;Severinstr.;67;63501;Versicherungsstadt;06352/3037;06361/11634;0175/579195;;Mueller20@dhbw.tst;Sabine@dhbw.vgl;N;verheiratet;4;3;J
K00194;Meier 20;Carsten;Herrmann;24.04.1966;Marburg;Kanzlerweg;24;63501;Versicherungsstadt;06352/84839;06361/19139;0175/579194;;Meier20@dhbw.tst;Carsten@dhbw.vgl;M;eingetr. Partnerschaft;0;0;N
K00193;Meyer 20;Sebastian;;14.04.1966;Dortmund;Kreuzberger Str.;97;63500;Musterdorff;06351/72640;06360/4363;0175/579193;;Meyer20@dhbw.tst;Sebastian@dhbw.vgl;L;verheiratet;1;0;N
K00192;Maier 20;Markus;;04.04.1966;Wiesbaden;Im Gewann;33;63500;Musterdorff;06351/50585;06360/58925;0175/579192;;Maier20@dhbw.tst;Markus@dhbw.vgl;G;ledig;0;0;N
K00191;Müller 20;Michael;;25.03.1966;Zuffenhausen;Berliner Strasse;5;63500;Musterdorff;06351/48716;06360/32772;0175/579191;;Müller20@dhbw.tst;Michael@dhbw.vgl;P;verwitwet;3;2;N
K00190;Dietrich 19;Ernst;;15.03.1966;Zuffenhausen;Musterstrasse;57;63505;Mosbach;06356/86817;06365/9437;0175/579190;06356/23452;Dietrich19@dhbw.tst;Ernst@dhbw.vgl;O;verwitwet;0;0;N
K00189;Otto 19;Karl-Heinz;Egon;05.03.1966;Wolfsburg;Kurze Strasse;51;63504;Mittelstadt;06355/42952;06364/99662;0175/579189;;Otto19@dhbw.tst;Karl-Heinz@dhbw.vgl;N;eingetr. Partnerschaft;0;0;J
K00188;Zimmermann 19;Hugo;;23.02.1966;Kiel;Lange Strasse;97;63504;Mittelstadt;06355/9042;06364/78077;0175/579188;;Zimmermann19@dhbw.tst;Hugo@dhbw.vgl;M;eingetr. Partnerschaft;0;0;J
K00187;Zöller 19;Christian;;13.02.1966;Hamburg;Kreuzweg;54;63504;Mittelstadt;06355/6591;06364/99088;;;Zöller19@dhbw.tst;Christian@dhbw.vgl;L;verwitwet;3;2;N
K00186;Musterfrau 19;Martina;;03.02.1966;Fulda;Im Tal;18;63504;Mittelstadt;06355/29609;06364/54229;;;Musterfrau19@dhbw.tst;Martina@dhbw.vgl;G;eingetr. Partnerschaft;0;0;N
K00185;Mueller 19;Andreas;;24.01.1966;Kassel;Auf der Höhe;80;63504;Mittelstadt;06355/71542;06364/40434;;;Mueller19@dhbw.tst;Andreas@dhbw.vgl;P;eingetr. Partnerschaft;2;1;J
K00184;Meier 19;Toni;Maria;14.01.1966;Flensburg;Severinstr.;46;63503;Altstadt;06354/53650;06363/33993;;06354/84117;Meier19@dhbw.tst;Toni@dhbw.vgl;O;geschieden;0;0;N
K00183;Meyer 19;Jürgen;;04.01.1966;Frankfurt;Kanzlerweg;33;63503;Altstadt;06354/75534;06363/72647;;;Meyer19@dhbw.tst;Jürgen@dhbw.vgl;N;verwitwet;2;1;N
K00182;Maier 19;Karla;;25.12.1965;Hanau;Kreuzberger Str.;51;63503;Altstadt;06354/47386;06363/69022;;;Maier19@dhbw.tst;Karla@dhbw.vgl;M;eingetr. Partnerschaft;1;0;N
K00181;Müller 19;Norbert;;15.12.1965;Frankfurt (Oder);Im Gewann;37;63502;Neustadt;06353/26432;06362/64116;;;Müller19@dhbw.tst;Norbert@dhbw.vgl;L;eingetr. Partnerschaft;0;0;N
K00180;Dietrich 18;Kristijan;;05.12.1965;Kiel;Berliner Strasse;55;63502;Neustadt;06353/1038;06362/29689;;;Dietrich18@dhbw.tst;Kristijan@dhbw.vgl;G;geschieden;3;2;N
K00179;Otto 18;Marcus;Putinowitsch;25.11.1965;London;Musterstrasse;66;63502;Neustadt;06353/18152;06362/36226;;;Otto18@dhbw.tst;Marcus@dhbw.vgl;P;verwitwet;0;0;N
K00178;Zimmermann 18;Hartwigk;;15.11.1965;Kassel;Kurze Strasse;33;63502;Neustadt;06353/73107;06362/11070;;06353/75135;Zimmermann18@dhbw.tst;Hartwigk@dhbw.vgl;O;ledig;2;1;N
K00177;Zöller 18;Holger;;05.11.1965;Basel;Lange Strasse;10;63502;Neustadt;06353/8528;06362/49074;;;Zöller18@dhbw.tst;Holger@dhbw.vgl;N;eingetr. Partnerschaft;1;0;N
K00176;Musterfrau 18;Tina;;26.10.1965;Hannover;Kreuzweg;78;63501;Versicherungsstadt;06352/13280;06361/60758;;;Musterfrau18@dhbw.tst;Tina@dhbw.vgl;M;eingetr. Partnerschaft;0;0;N
K00175;Mueller 18;Ansgar;Paul;16.10.1965;Köln;Im Tal;83;63501;Versicherungsstadt;06352/35420;06361/60862;;;Mueller18@dhbw.tst;Ansgar@dhbw.vgl;L;verheiratet;3;2;N
K00174;Meier 18;Walter;;06.10.1965;Duisburg;Auf der Höhe;32;63500;Musterdorff;06351/53844;06360/57886;;;Meier18@dhbw.tst;Walter@dhbw.vgl;G;eingetr. Partnerschaft;0;0;J
K00173;Meyer 18;Egon;;26.09.1965;Frankfurt;Severinstr.;92;63500;Musterdorff;06351/36244;;;;Meyer18@dhbw.tst;Egon@dhbw.vgl;P;verheiratet;0;0;J
K00172;Maier 18;Erika;Clara;16.09.1965;Hanau;Kanzlerweg;64;63500;Musterdorff;06351/12186;;;06351/73869;Maier18@dhbw.tst;Erika@dhbw.vgl;O;geschieden;3;2;N
K00171;Müller 18;Wolfgang;Herrmann;06.09.1965;London;Kreuzberger Str.;74;63505;Mosbach;06356/49890;;;;Müller18@dhbw.tst;Wolfgang@dhbw.vgl;N;verwitwet;3;2;N
K00170;Dietrich 17;Christine;;27.08.1965;Moskau;Im Gewann;2;63504;Mittelstadt;06355/2451;;;;Dietrich17@dhbw.tst;Christine@dhbw.vgl;M;verheiratet;3;2;N
K00169;Otto 17;Michael;;17.08.1965;Wolfsburg;Berliner Strasse;8;63504;Mittelstadt;06355/26937;;;;Otto17@dhbw.tst;Michael@dhbw.vgl;L;geschieden;3;2;N
K00168;Zimmermann 17;Anne;;07.08.1965;Sidney;Musterstrasse;23;63504;Mittelstadt;06355/15279;;;;Zimmermann17@dhbw.tst;Anne@dhbw.vgl;G;verwitwet;0;0;N
K00167;Zöller 17;Torsten;;28.07.1965;Wolfsburg;Kurze Strasse;94;63504;Mittelstadt;06355/82191;;;;Zöller17@dhbw.tst;Torsten@dhbw.vgl;P;eingetr. Partnerschaft;1;0;N
K00166;Musterfrau 17;Sabine;Egon;18.07.1965;Paris;Lange Strasse;37;63504;Mittelstadt;06355/50489;;;06355/79967;Musterfrau17@dhbw.tst;Sabine@dhbw.vgl;O;ledig;0;0;N
K00165;Mueller 17;Carsten;;08.07.1965;Hofgeismar;Kreuzweg;43;63503;Altstadt;06354/15783;06363/79379;;;Mueller17@dhbw.tst;Carsten@dhbw.vgl;N;verwitwet;0;0;N
K00164;Meier 17;Ernst;;28.06.1965;Wolfsburg;Im Tal;51;63503;Altstadt;06354/48836;06363/27637;;;Meier17@dhbw.tst;Ernst@dhbw.vgl;M;geschieden;0;0;N
K00163;Meyer 17;Markus;;18.06.1965;Köln;Auf der Höhe;4;63503;Altstadt;06354/70815;06363/22150;;;Meyer17@dhbw.tst;Markus@dhbw.vgl;L;eingetr. Partnerschaft;2;1;J
K00162;Maier 17;Alfred;;08.06.1965;Frankfurt;Severinstr.;75;63502;Neustadt;06353/59114;06362/78129;;;Maier17@dhbw.tst;Alfred@dhbw.vgl;G;eingetr. Partnerschaft;0;0;N
K00161;Müller 17;Sebastian;Maria;29.05.1965;Düsseldorf;Kanzlerweg;73;63502;Neustadt;06353/22562;06362/16123;;;Müller17@dhbw.tst;Sebastian@dhbw.vgl;P;ledig;0;0;N
K00160;Dietrich 16;Christiane;;19.05.1965;Kiel;Kreuzberger Str.;3;63502;Neustadt;06353/70214;06362/63470;;;Dietrich16@dhbw.tst;Christiane@dhbw.vgl;O;geschieden;0;0;N
K00159;Otto 16;Norbert;;09.05.1965;Erfurt;Im Gewann;76;63502;Neustadt;06353/76852;06362/96600;;;Otto16@dhbw.tst;Norbert@dhbw.vgl;N;verwitwet;0;0;N
K00158;Zimmermann 16;Martina;;29.04.1965;Würzburg;Berliner Strasse;42;63502;Neustadt;06353/55985;06362/48772;;;Zimmermann16@dhbw.tst;Martina@dhbw.vgl;M;verwitwet;0;0;N
K00157;Zöller 16;Karl-Heinz;;19.04.1965;Hannover;Musterstrasse;33;63501;Versicherungsstadt;06352/56952;06361/82706;;;Zöller16@dhbw.tst;Karl-Heinz@dhbw.vgl;L;verwitwet;2;1;N
K00156;Musterfrau 16;Andreas;Putinowitsch;09.04.1965;Leipzig;Kurze Strasse;31;63501;Versicherungsstadt;06352/88375;06361/26464;;06352/77540;Musterfrau16@dhbw.tst;Andreas@dhbw.vgl;G;verwitwet;3;2;N
K00155;Mueller 16;Toni;;30.03.1965;Fulda;Lange Strasse;17;63500;Musterdorff;06351/88092;06360/88532;;;Mueller16@dhbw.tst;Toni@dhbw.vgl;P;verheiratet;0;0;J
K00154;Meier 16;Kristijan;;20.03.1965;Frankfurt (Oder);Kreuzweg;3;63500;Musterdorff;06351/81382;06360/65822;;;Meier16@dhbw.tst;Kristijan@dhbw.vgl;O;verheiratet;3;2;N
K00153;Meyer 16;Karla;;10.03.1965;Kassel;Im Tal;68;63500;Musterdorff;06351/51569;06360/82897;;;Meyer16@dhbw.tst;Karla@dhbw.vgl;N;verwitwet;2;1;N
K00152;Maier 16;Thomas;Paul;28.02.1965;Hanau;Auf der Höhe;42;63505;Mosbach;06356/53762;06365/67703;;;Maier16@dhbw.tst;Thomas@dhbw.vgl;M;ledig;0;0;N
K00151;Müller 16;Jürgen;;18.02.1965;München;Severinstr.;48;63504;Mittelstadt;06355/37191;06364/70384;;;Müller16@dhbw.tst;Jürgen@dhbw.vgl;L;geschieden;1;0;N
K00150;Dietrich 15;Christian;;08.02.1965;Basel;Kanzlerweg;52;63504;Mittelstadt;06355/92174;06364/49602;;06355/87995;Dietrich15@dhbw.tst;Christian@dhbw.vgl;G;geschieden;3;2;N
K00149;Otto 15;Wolfgang;Clara;29.01.1965;Paris;Kreuzberger Str.;41;63504;Mittelstadt;06355/32211;06364/8124;;;Otto15@dhbw.tst;Wolfgang@dhbw.vgl;P;geschieden;3;2;N
K00148;Zimmermann 15;Tina;Herrmann;19.01.1965;Sidney;Im Gewann;42;63504;Mittelstadt;06355/60057;06364/17927;;;Zimmermann15@dhbw.tst;Tina@dhbw.vgl;O;verwitwet;0;0;N
K00147;Zöller 15;Marcus;;09.01.1965;Paris;Berliner Strasse;24;63504;Mittelstadt;06355/86379;06364/89038;0175/579147;;Zöller15@dhbw.tst;Marcus@dhbw.vgl;N;geschieden;0;0;N
K00146;Musterfrau 15;Ansgar;;30.12.1964;Dortmund;Musterstrasse;76;63503;Altstadt;06354/25640;06363/93519;0175/579146;;Musterfrau15@dhbw.tst;Ansgar@dhbw.vgl;M;ledig;0;0;N
K00145;Mueller 15;Walter;;20.12.1964;Stuttgart;Kurze Strasse;20;63503;Altstadt;06354/77199;06363/39389;0175/579145;;Mueller15@dhbw.tst;Walter@dhbw.vgl;L;verwitwet;2;1;N
K00144;Meier 15;Christine;;10.12.1964;Wien;Lange Strasse;16;63503;Altstadt;06354/45868;06363/6501;0175/579144;06354/44781;Meier15@dhbw.tst;Christine@dhbw.vgl;G;ledig;0;0;N
K00143;Meyer 15;Erika;Egon;30.11.1964;Kassel;Kreuzweg;39;63502;Neustadt;06353/84110;06362/93284;0175/579143;;Meyer15@dhbw.tst;Erika@dhbw.vgl;P;verheiratet;3;2;N
K00142;Maier 15;Tom;;20.11.1964;Mainz;Im Tal;11;63502;Neustadt;06353/80549;06362/71651;0175/579142;;Maier15@dhbw.tst;Tom@dhbw.vgl;O;verwitwet;3;2;N
